1	496
2	496
3	497
4	498
5	498
6	499
7	499
8	499
9	499
10	500
11	500
12	499
13	499
14	499
15	499
16	499
17	499
18	500
19	500
20	499
21	499
22	499
23	499
24	499
25	499
26	499
27	500
28	499
29	499
30	499
31	499
32	499
33	499
34	499
35	500
36	501
37	502
38	502
39	502
40	501
41	502
42	502
43	502
44	503
45	504
46	504
47	505
48	505
49	506
50	506
51	506
52	507
53	507
54	508
55	508
56	508
57	509
58	510
59	511
60	511
61	511
62	511
63	512
64	513
65	514
66	515
67	514
68	515
69	515
70	515
71	515
72	515
73	515
74	516
75	516
76	517
77	517
78	517
79	518
80	518
81	518
82	518
83	519
84	519
85	520
86	520
87	520
88	520
89	520
90	520
91	519
92	519
93	520
94	521
95	521
96	522
97	523
98	523
99	523
100	523
101	524
102	524
103	524
104	524
105	524
106	524
107	525
108	526
109	527
110	527
111	527
112	528
113	528
114	529
115	530
116	529
117	530
118	531
119	531
120	531
121	531
122	532
123	533
124	534
125	535
126	535
127	536
128	536
129	536
130	536
131	536
132	536
133	536
134	537
135	536
136	536
137	536
138	536
139	536
140	536
141	536
142	537
143	539
144	539
145	539
146	539
147	539
148	539
149	539
150	539
151	538
152	538
153	538
154	538
155	538
156	538
157	537
158	537
159	537
160	537
161	535
162	534
163	533
164	532
165	532
166	531
167	531
168	529
169	528
170	526
171	525
172	524
173	523
174	521
175	519
176	518
177	516
178	514
179	512
180	510
181	508
182	506
183	504
184	503
185	502
186	500
187	498
188	497
189	495
190	494
191	492
192	491
193	489
194	487
195	487
196	485
197	483
198	482
199	481
200	480
201	479
202	478
203	478
204	477
205	477
206	476
207	476
208	476
209	475
210	475
211	474
212	473
213	473
214	473
215	472
216	473
217	472
218	472
219	472
220	471
221	471
222	471
223	470
224	470
225	470
226	470
227	471
228	471
229	471
230	471
231	471
232	471
233	471
234	472
235	472
236	473
237	473
238	474
239	475
240	475
241	475
242	475
243	476
244	475
245	476
246	476
247	476
248	477
249	478
250	478
251	477
252	477
253	478
254	478
255	478
256	479
257	479
258	480
259	480
260	480
261	480
262	480
263	480
264	480
265	481
266	482
267	482
268	483
269	483
270	484
271	485
272	487
273	487
274	488
275	488
276	488
277	489
278	489
279	489
280	489
281	490
282	491
283	491
284	491
285	491
286	491
287	492
